split,sample_id,image,class_id,class_name,probability,component_rank,heatmap_threshold,bbox_xywh,yolo_bbox,yolo_x_center,yolo_y_center,yolo_width,yolo_height,x,y,width,height,area,centroid_x,centroid_y
train,atelektasis/CXR015_001.jpg,CXR015_001.jpg,0,infiltrat,0.611006,1,0.5000,"0,42,114,96",0 0.254464 0.401786 0.508929 0.428571,0.254464,0.401786,0.508929,0.428571,0,42,114,96,8611,57.184,91.8128
train,atelektasis/CXR018_001.jpg,CXR018_001.jpg,0,infiltrat,0.620023,1,0.5000,"0,53,125,99",0 0.279018 0.457589 0.558036 0.441964,0.279018,0.457589,0.558036,0.441964,0,53,125,99,8115,60.5089,103.8446
train,atelektasis/CXR018_002.jpg,CXR018_002.jpg,0,infiltrat,0.627724,1,0.5000,"0,25,92,134",0 0.205357 0.410714 0.410714 0.598214,0.205357,0.410714,0.410714,0.598214,0,25,92,134,10522,41.6859,96.2238
train,atelektasis/CXR018_003.jpg,CXR018_003.jpg,0,infiltrat,0.614656,1,0.5000,"0,0,70,160",0 0.156250 0.357143 0.312500 0.714286,0.156250,0.357143,0.312500,0.714286,0,0,70,160,6981,24.3709,92.682
train,atelektasis/CXR019_001.jpg,CXR019_001.jpg,0,infiltrat,0.603894,1,0.5000,"29,20,95,103",0 0.341518 0.319196 0.424107 0.459821,0.341518,0.319196,0.424107,0.459821,29,20,95,103,7309,75.6337,66.3404
train,atelektasis/CXR019_002.jpg,CXR019_002.jpg,0,infiltrat,0.591005,1,0.5000,"0,34,100,82",0 0.223214 0.334821 0.446429 0.366071,0.223214,0.334821,0.446429,0.366071,0,34,100,82,6044,52.6386,72.4937
train,atelektasis/CXR019_003.jpg,CXR019_003.jpg,0,infiltrat,0.645068,1,0.5000,"33,0,71,102",0 0.305804 0.227679 0.316964 0.455357,0.305804,0.227679,0.316964,0.455357,33,0,71,102,4472,70.5047,61.3468
train,atelektasis/CXR052_001.jpg,CXR052_001.jpg,0,infiltrat,0.623047,1,0.5000,"0,96,92,36",0 0.205357 0.508929 0.410714 0.160714,0.205357,0.508929,0.410714,0.160714,0,96,92,36,2651,44.3546,113.3636
train,atelektasis/CXR052_001.jpg,CXR052_001.jpg,0,infiltrat,0.623047,2,0.5000,"69,202,76,22",0 0.477679 0.950893 0.339286 0.098214,0.477679,0.950893,0.339286,0.098214,69,202,76,22,1424,105.0527,214.0604
train,atelektasis/CXR052_001.jpg,CXR052_001.jpg,0,infiltrat,0.623047,3,0.5000,"0,172,21,7",0 0.046875 0.783482 0.093750 0.031250,0.046875,0.783482,0.093750,0.031250,0,172,21,7,130,8.8846,175.0308
train,efusi pleura/CXR003_002.jpg,CXR003_002.jpg,0,infiltrat,0.606917,1,0.5000,"131,38,93,111",0 0.792411 0.417411 0.415179 0.495536,0.792411,0.417411,0.415179,0.495536,131,38,93,111,8353,180.2287,94.3085
train,efusi pleura/CXR003_003.jpg,CXR003_003.jpg,0,infiltrat,0.548241,1,0.5000,"123,60,101,110",0 0.774554 0.513393 0.450893 0.491071,0.774554,0.513393,0.450893,0.491071,123,60,101,110,8812,179.5986,117.1468
train,efusi pleura/CXR005_002.jpg,CXR005_002.jpg,0,infiltrat,0.592140,1,0.5000,"0,93,176,131",0 0.392857 0.707589 0.785714 0.584821,0.392857,0.707589,0.785714,0.584821,0,93,176,131,10468,57.4453,181.1272
train,efusi pleura/CXR005_002.jpg,CXR005_002.jpg,0,infiltrat,0.592140,2,0.5000,"160,0,64,33",0 0.857143 0.073661 0.285714 0.147321,0.857143,0.073661,0.285714,0.147321,160,0,64,33,1968,193.0899,15.0915
train,efusi pleura/CXR005_003.jpg,CXR005_003.jpg,0,infiltrat,0.635231,1,0.5000,"27,91,81,78",0 0.301339 0.580357 0.361607 0.348214,0.301339,0.580357,0.361607,0.348214,27,91,81,78,3772,69.5652,132.6318
train,efusi pleura/CXR009_001.jpg,CXR009_001.jpg,0,infiltrat,0.632674,1,0.5000,"165,78,59,98",0 0.868304 0.566964 0.263393 0.437500,0.868304,0.566964,0.263393,0.437500,165,78,59,98,3062,202.1486,123.7864
train,efusi pleura/CXR009_001.jpg,CXR009_001.jpg,0,infiltrat,0.632674,2,0.5000,"0,134,32,90",0 0.071429 0.799107 0.142857 0.401786,0.071429,0.799107,0.142857,0.401786,0,134,32,90,2615,14.2038,180.0532
train,efusi pleura/CXR009_002.jpg,CXR009_002.jpg,0,infiltrat,0.627108,1,0.5000,"0,164,224,60",0 0.500000 0.866071 1.000000 0.267857,0.500000,0.866071,1.000000,0.267857,0,164,224,60,7466,99.8197,205.4073
train,efusi pleura/CXR009_002.jpg,CXR009_002.jpg,0,infiltrat,0.627108,2,0.5000,"198,0,26,16",0 0.941964 0.035714 0.116071 0.071429,0.941964,0.035714,0.116071,0.071429,198,0,26,16,416,210.5,7.5
train,efusi pleura/CXR010_001.jpg,CXR010_001.jpg,0,infiltrat,0.580384,1,0.5000,"162,28,62,100",0 0.861607 0.348214 0.276786 0.446429,0.861607,0.348214,0.276786,0.446429,162,28,62,100,5453,194.993,78.3627
train,efusi pleura/CXR010_002.jpg,CXR010_002.jpg,0,infiltrat,0.560516,1,0.5000,"176,53,48,98",0 0.892857 0.455357 0.214286 0.437500,0.892857,0.455357,0.214286,0.437500,176,53,48,98,3486,204.679,103.1822
train,efusi pleura/CXR010_003.jpg,CXR010_003.jpg,0,infiltrat,0.598727,1,0.5000,"0,136,224,88",0 0.500000 0.803571 1.000000 0.392857,0.500000,0.803571,1.000000,0.392857,0,136,224,88,10799,85.5031,194.1597
train,efusi pleura/CXR010_003.jpg,CXR010_003.jpg,0,infiltrat,0.598727,2,0.5000,"0,0,59,33",0 0.131696 0.073661 0.263393 0.147321,0.131696,0.073661,0.263393,0.147321,0,0,59,33,1705,26.7296,14.2534
train,efusi pleura/CXR013_001.jpg,CXR013_001.jpg,0,infiltrat,0.696271,1,0.5000,"0,59,95,94",0 0.212054 0.473214 0.424107 0.419643,0.212054,0.473214,0.424107,0.419643,0,59,95,94,7175,46.916,104.8334
train,efusi pleura/CXR013_002.jpg,CXR013_002.jpg,0,infiltrat,0.715614,1,0.5000,"16,58,99,98",0 0.292411 0.477679 0.441964 0.437500,0.292411,0.477679,0.441964,0.437500,16,58,99,98,7703,65.7182,106.4487
train,efusi pleura/CXR017_002.jpg,CXR017_002.jpg,0,infiltrat,0.800565,1,0.5000,"0,50,149,118",0 0.332589 0.486607 0.665179 0.526786,0.332589,0.486607,0.665179,0.526786,0,50,149,118,11732,75.427,110.5546
train,efusi pleura/CXR017_003.jpg,CXR017_003.jpg,0,infiltrat,0.667519,1,0.5000,"94,23,130,99",0 0.709821 0.323661 0.580357 0.441964,0.709821,0.323661,0.580357,0.441964,94,23,130,99,10537,157.7634,72.8349
train,efusi pleura/CXR029_001.jpg,CXR029_001.jpg,0,infiltrat,0.632251,1,0.5000,"0,163,102,61",0 0.227679 0.863839 0.455357 0.272321,0.227679,0.863839,0.455357,0.272321,0,163,102,61,4520,43.9978,199.3097
train,efusi pleura/CXR029_001.jpg,CXR029_001.jpg,0,infiltrat,0.632251,2,0.5000,"0,0,64,60",0 0.142857 0.133929 0.285714 0.267857,0.142857,0.133929,0.285714,0.267857,0,0,64,60,2791,25.6983,23.5518
train,efusi pleura/CXR029_002.jpg,CXR029_002.jpg,0,infiltrat,0.574578,1,0.5000,"0,192,224,32",0 0.500000 0.928571 1.000000 0.142857,0.500000,0.928571,1.000000,0.142857,0,192,224,32,6470,107.0099,208.8043
train,efusi pleura/CXR029_003.jpg,CXR029_003.jpg,0,infiltrat,0.555508,1,0.5000,"0,185,36,39",0 0.080357 0.912946 0.160714 0.174107,0.080357,0.912946,0.160714,0.174107,0,185,36,39,1214,15.6137,205.9316
train,efusi pleura/CXR029_003.jpg,CXR029_003.jpg,0,infiltrat,0.555508,2,0.5000,"202,0,22,22",0 0.950893 0.049107 0.098214 0.098214,0.950893,0.049107,0.098214,0.098214,202,0,22,22,463,212.9006,10.0994
train,efusi pleura/CXR044_001.jpg,CXR044_001.jpg,0,infiltrat,0.629068,1,0.5000,"18,45,90,122",0 0.281250 0.473214 0.401786 0.544643,0.281250,0.473214,0.401786,0.544643,18,45,90,122,6464,59.3106,115.886
train,efusi pleura/CXR044_002.jpg,CXR044_002.jpg,0,infiltrat,0.611910,1,0.5000,"0,88,96,86",0 0.214286 0.584821 0.428571 0.383929,0.214286,0.584821,0.428571,0.383929,0,88,96,86,5006,37.5022,140.0617
train,infiltrat/CXR001_001.jpg,CXR001_001.jpg,0,infiltrat,0.573612,1,0.5000,"119,48,105,99",0 0.765625 0.435268 0.468750 0.441964,0.765625,0.435268,0.468750,0.441964,119,48,105,99,7701,169.1199,97.8856
train,infiltrat/CXR001_002.jpg,CXR001_002.jpg,0,infiltrat,0.626469,1,0.5000,"129,18,95,105",0 0.787946 0.314732 0.424107 0.468750,0.787946,0.314732,0.424107,0.468750,129,18,95,105,8145,178.5971,73.0266
train,infiltrat/CXR001_003.jpg,CXR001_003.jpg,0,infiltrat,0.642122,1,0.5000,"125,0,73,58",0 0.720982 0.129464 0.325893 0.258929,0.720982,0.129464,0.325893,0.258929,125,0,73,58,2638,166.2638,19.9621
train,infiltrat/CXR001_004.jpg,CXR001_004.jpg,0,infiltrat,0.640829,1,0.5000,"0,157,168,67",0 0.375000 0.850446 0.750000 0.299107,0.375000,0.850446,0.750000,0.299107,0,157,168,67,5977,65.1671,196.4214
train,infiltrat/CXR001_004.jpg,CXR001_004.jpg,0,infiltrat,0.640829,2,0.5000,"0,0,70,39",0 0.156250 0.087054 0.312500 0.174107,0.156250,0.087054,0.312500,0.174107,0,0,70,39,2372,33.1518,16.7892
train,infiltrat/CXR001_004.jpg,CXR001_004.jpg,0,infiltrat,0.640829,3,0.5000,"159,0,65,32",0 0.854911 0.071429 0.290179 0.142857,0.854911,0.071429,0.290179,0.142857,159,0,65,32,1647,189.5531,12.5076
train,infiltrat/CXR002_001.jpg,CXR002_001.jpg,0,infiltrat,0.589237,1,0.5000,"0,0,76,104",0 0.169643 0.232143 0.339286 0.464286,0.169643,0.232143,0.339286,0.464286,0,0,76,104,5913,29.6364,45.0267
train,infiltrat/CXR002_002.jpg,CXR002_002.jpg,0,infiltrat,0.611358,1,0.5000,"0,0,89,92",0 0.198661 0.205357 0.397321 0.410714,0.198661,0.205357,0.397321,0.410714,0,0,89,92,5128,32.648,34.0663
train,infiltrat/CXR002_002.jpg,CXR002_002.jpg,0,infiltrat,0.611358,2,0.5000,"107,208,10,16",0 0.500000 0.964286 0.044643 0.071429,0.500000,0.964286,0.044643,0.071429,107,208,10,16,160,111.5,215.5
train,infiltrat/CXR002_003.jpg,CXR002_003.jpg,0,infiltrat,0.597191,1,0.5000,"0,157,224,67",0 0.500000 0.850446 1.000000 0.299107,0.500000,0.850446,1.000000,0.299107,0,157,224,67,10736,103.1194,197.7149
train,infiltrat/CXR002_003.jpg,CXR002_003.jpg,0,infiltrat,0.597191,2,0.5000,"193,0,31,24",0 0.930804 0.053571 0.138393 0.107143,0.930804,0.053571,0.138393,0.107143,193,0,31,24,691,208.8437,10.7815
train,infiltrat/CXR003_001.jpg,CXR003_001.jpg,0,infiltrat,0.671788,1,0.5000,"118,56,106,97",0 0.763393 0.466518 0.473214 0.433036,0.763393,0.466518,0.473214,0.433036,118,56,106,97,7938,173.0013,103.5854
train,infiltrat/CXR003_002.jpg,CXR003_002.jpg,0,infiltrat,0.606917,1,0.5000,"131,38,93,111",0 0.792411 0.417411 0.415179 0.495536,0.792411,0.417411,0.415179,0.495536,131,38,93,111,8353,180.2287,94.3085
train,infiltrat/CXR004_001.jpg,CXR004_001.jpg,3,atelektasis,0.782400,1,0.5000,"0,45,95,99",3 0.212054 0.421875 0.424107 0.441964,0.212054,0.421875,0.424107,0.441964,0,45,95,99,8003,46.7408,93.3304
train,infiltrat/CXR004_002.jpg,CXR004_002.jpg,0,infiltrat,0.543256,1,0.5000,"45,57,87,91",0 0.395089 0.457589 0.388393 0.406250,0.395089,0.457589,0.388393,0.406250,45,57,87,91,5712,87.5586,100.5488
train,infiltrat/CXR005_001.jpg,CXR005_001.jpg,0,infiltrat,0.635105,1,0.5000,"0,44,104,97",0 0.232143 0.412946 0.464286 0.433036,0.232143,0.412946,0.464286,0.433036,0,44,104,97,8329,49.1778,93.9041
train,infiltrat/CXR005_002.jpg,CXR005_002.jpg,0,infiltrat,0.592140,1,0.5000,"0,93,176,131",0 0.392857 0.707589 0.785714 0.584821,0.392857,0.707589,0.785714,0.584821,0,93,176,131,10468,57.4453,181.1272
train,infiltrat/CXR005_002.jpg,CXR005_002.jpg,0,infiltrat,0.592140,2,0.5000,"160,0,64,33",0 0.857143 0.073661 0.285714 0.147321,0.857143,0.073661,0.285714,0.147321,160,0,64,33,1968,193.0899,15.0915
train,infiltrat/CXR005_003.jpg,CXR005_003.jpg,0,infiltrat,0.635231,1,0.5000,"27,91,81,78",0 0.301339 0.580357 0.361607 0.348214,0.301339,0.580357,0.361607,0.348214,27,91,81,78,3772,69.5652,132.6318
train,infiltrat/CXR006_001.jpg,CXR006_001.jpg,0,infiltrat,0.648465,1,0.5000,"0,50,94,100",0 0.209821 0.446429 0.419643 0.446429,0.209821,0.446429,0.419643,0.446429,0,50,94,100,8141,42.6185,97.902
train,infiltrat/CXR006_002.jpg,CXR006_002.jpg,0,infiltrat,0.570861,1,0.5000,"0,128,76,63",0 0.169643 0.712054 0.339286 0.281250,0.169643,0.712054,0.339286,0.281250,0,128,76,63,3948,36.3769,157.5015
train,infiltrat/CXR007_001.jpg,CXR007_001.jpg,0,infiltrat,0.585610,1,0.5000,"0,138,41,86",0 0.091518 0.808036 0.183036 0.383929,0.091518,0.808036,0.183036,0.383929,0,138,41,86,3102,18.2318,184.6715
train,infiltrat/CXR007_001.jpg,CXR007_001.jpg,0,infiltrat,0.585610,2,0.5000,"171,0,53,28",0 0.881696 0.062500 0.236607 0.125000,0.881696,0.062500,0.236607,0.125000,171,0,53,28,1341,198.7435,12.3497
train,infiltrat/CXR007_002.jpg,CXR007_002.jpg,0,infiltrat,0.678507,1,0.5000,"0,136,96,88",0 0.214286 0.803571 0.428571 0.392857,0.214286,0.803571,0.428571,0.392857,0,136,96,88,5909,40.4903,182.262
train,infiltrat/CXR007_003.jpg,CXR007_003.jpg,2,efusi pleura,0.721206,1,0.5000,"192,192,32,32",2 0.928571 0.928571 0.142857 0.142857,0.928571,0.928571,0.142857,0.142857,192,192,32,32,925,208.7081,208.7081
train,infiltrat/CXR007_003.jpg,CXR007_003.jpg,2,efusi pleura,0.721206,2,0.5000,"133,198,22,26",2 0.642857 0.941964 0.098214 0.116071,0.642857,0.941964,0.098214,0.116071,133,198,22,26,480,143.5,212.3583
train,infiltrat/CXR008_001.jpg,CXR008_001.jpg,0,infiltrat,0.593936,1,0.5000,"23,160,78,38",0 0.276786 0.799107 0.348214 0.169643,0.276786,0.799107,0.348214,0.169643,23,160,78,38,2056,64.8667,178.126
train,infiltrat/CXR009_001.jpg,CXR009_001.jpg,0,infiltrat,0.632674,1,0.5000,"165,78,59,98",0 0.868304 0.566964 0.263393 0.437500,0.868304,0.566964,0.263393,0.437500,165,78,59,98,3062,202.1486,123.7864
train,infiltrat/CXR009_001.jpg,CXR009_001.jpg,0,infiltrat,0.632674,2,0.5000,"0,134,32,90",0 0.071429 0.799107 0.142857 0.401786,0.071429,0.799107,0.142857,0.401786,0,134,32,90,2615,14.2038,180.0532
train,infiltrat/CXR009_002.jpg,CXR009_002.jpg,0,infiltrat,0.627108,1,0.5000,"0,164,224,60",0 0.500000 0.866071 1.000000 0.267857,0.500000,0.866071,1.000000,0.267857,0,164,224,60,7466,99.8197,205.4073
train,infiltrat/CXR009_002.jpg,CXR009_002.jpg,0,infiltrat,0.627108,2,0.5000,"198,0,26,16",0 0.941964 0.035714 0.116071 0.071429,0.941964,0.035714,0.116071,0.071429,198,0,26,16,416,210.5,7.5
train,infiltrat/CXR009_003.jpg,CXR009_003.jpg,0,infiltrat,0.620974,1,0.5000,"0,133,48,91",0 0.107143 0.796875 0.214286 0.406250,0.107143,0.796875,0.214286,0.406250,0,133,48,91,3612,20.1675,183.0125
