Split,Class,Support,TP,FP,TN,FN,Precision,Recall,F1
Overall,infiltrat,182,181,47,0,1,0.79386,0.994505,0.882927
Overall,pneumothorax,6,0,0,223,6,0.0,0.0,0.0
Overall,efusi pleura,23,2,26,180,21,0.071429,0.086957,0.078431
Overall,atelektasis,18,1,15,196,17,0.0625,0.055556,0.058824
Train,infiltrat,135,134,27,0,1,0.832298,0.992593,0.905405
Train,pneumothorax,1,0,0,161,1,0.0,0.0,0.0
Train,efusi pleura,18,2,22,122,16,0.083333,0.111111,0.095238
Train,atelektasis,8,0,13,141,8,0.0,0.0,0.0
Valid,infiltrat,37,37,17,0,0,0.685185,1.0,0.813187
Valid,pneumothorax,5,0,0,49,5,0.0,0.0,0.0
Valid,efusi pleura,4,0,4,46,4,0.0,0.0,0.0
Valid,atelektasis,8,1,1,45,7,0.5,0.125,0.2
Test,infiltrat,10,10,3,0,0,0.769231,1.0,0.869565
Test,pneumothorax,0,0,0,13,0,0.0,0.0,0.0
Test,efusi pleura,1,0,0,12,1,0.0,0.0,0.0
Test,atelektasis,2,0,1,10,2,0.0,0.0,0.0
